date,DO
2016-04-03 16:33:00,7.33
2016-04-03 17:03:00,7.27
2016-04-03 17:33:00,7.0
2016-04-03 18:03:00,6.76
2016-04-03 18:33:00,6.71
2016-04-03 19:03:00,6.87
2016-04-03 19:33:00,6.92
2016-04-03 20:03:00,6.8
2016-04-03 20:33:00,6.61
2016-04-03 21:03:00,6.67
2016-04-03 21:33:00,6.4
2016-04-03 22:03:00,6.23
2016-04-03 22:33:00,6.17
2016-04-03 23:03:00,6.05
2016-04-03 23:33:00,5.99
2016-04-04 00:03:00,5.93
2016-04-04 00:33:00,5.87
2016-04-04 01:03:00,5.88
2016-04-04 01:33:00,5.83
2016-04-04 02:03:00,5.9
2016-04-04 02:33:00,5.82
2016-04-04 03:03:00,5.86
2016-04-04 03:33:00,5.87
2016-04-04 04:03:00,5.75
2016-04-04 04:33:00,5.71
2016-04-04 05:03:00,5.94
2016-04-04 05:33:00,5.82
2016-04-04 06:03:00,5.8
2016-04-04 06:33:00,5.88
2016-04-04 07:03:00,5.86
2016-04-04 07:33:00,5.93
2016-04-04 08:03:00,6.04
2016-04-04 08:33:00,6.05
2016-04-04 09:03:00,6.04
2016-04-04 09:33:00,6.06
2016-04-04 10:03:00,6.0
2016-04-04 10:33:00,6.16
2016-04-04 11:03:00,6.31
2016-04-04 11:33:00,6.41
2016-04-04 12:03:00,6.4
2016-04-04 12:33:00,6.33
2016-04-04 13:03:00,6.37
2016-04-04 13:33:00,6.53
2016-04-04 14:03:00,6.73
2016-04-04 14:33:00,6.59
2016-04-04 15:03:00,6.66
2016-04-04 15:33:00,6.54
2016-04-04 16:03:00,6.97
2016-04-04 16:33:00,7.06
2016-04-04 17:03:00,6.89
2016-04-04 17:33:00,6.79
2016-04-04 18:03:00,6.53
2016-04-04 18:33:00,6.41
2016-04-04 19:03:00,6.47
2016-04-04 19:33:00,6.48
2016-04-04 20:03:00,6.47
2016-04-04 20:33:00,6.53
2016-04-04 21:03:00,6.52
2016-04-04 21:33:00,6.5
2016-04-04 22:03:00,6.42
2016-04-04 22:33:00,6.31
2016-04-04 23:03:00,6.21
2016-04-04 23:33:00,6.1
2016-04-05 00:03:00,6.04
2016-04-05 00:33:00,5.95
2016-04-05 01:03:00,5.89
2016-04-05 01:33:00,5.78
2016-04-05 02:03:00,5.84
2016-04-05 02:33:00,5.79
2016-04-05 03:03:00,5.83
2016-04-05 03:33:00,5.85
2016-04-05 04:03:00,5.85
2016-04-05 04:33:00,5.83
2016-04-05 05:03:00,5.83
2016-04-05 05:33:00,5.86
2016-04-05 06:03:00,5.85
2016-04-05 06:33:00,5.78
2016-04-05 07:03:00,5.82
2016-04-05 07:33:00,5.79
2016-04-05 08:03:00,5.81
2016-04-05 08:33:00,5.9
2016-04-05 09:03:00,6.03
